name;streetAddress;postalCode;addressLocality;addressRegion;addressCountry;geo_latitude;geo_longitude;url
Braunsberger Höfe;Dorfstraße 26;16818;Braunsberg;Brandenburg;Deutschland;53.049232;12.834325;https://hofladen.info/hofladen/braunsberger-hofe
Weingut Braun;Scheuerntorstr. 20;97980;Bad Mergentheim;Baden-Württemberg;Deutschland;49.475000;9.830821;https://hofladen.info/hofladen/weingut-braun
Gemüsehof Pohl;Merzenicher Straße 5;50170;Kerpen;Nordrhein-Westfalen;Deutschland;50.859720;6.579905;https://hofladen.info/hofladen/gemusehof-pohl
Detzels Hofladen;Wiesenholz 1;88267;Vogt;Baden-Württemberg;Deutschland;48.094524;11.798933;https://hofladen.info/hofladen/detzels-hofladen
Oderbruch Hof;Rathstocker Str. 6;15328;Alt Tucheband;Brandenburg;Deutschland;52.537160;14.513660;https://hofladen.info/hofladen/oderbruch-hof
Tierfairbrik;Falkenberger Str. 2;34576;Hombergshausen;Hessen;Deutschland;51.071430;9.439320;https://hofladen.info/hofladen/tierfairbrik
Ziegenalm Sophienhof;Dorfstr. 44;99768;Sophienhof ;Thüringen;Deutschland;51.633270;10.789960;https://hofladen.info/hofladen/ziegenalm-sophienhof
Geflügelhof Michael Pfefferle;Emil Thoma Str. 35;75031;Eppingen;Baden-Württemberg;Deutschland;49.143181;8.902020;https://hofladen.info/hofladen/geflugelhof-michael-pfefferle
Hofkäserei Heggelbach;Heggelbach 8;88634;Herdwangen;Baden-Württemberg;Deutschland;47.850780;9.139240;https://hofladen.info/hofladen/hofkaserei-heggelbach
Spargelhof Kiefer;Schmachtenhagener Straße 11;16515;Oranienburg;Brandenburg;Deutschland;52.779031;13.358958;https://hofladen.info/hofladen/spargelhof-kiefer
Imkerei Gempp;Wehratalstr. 3;79650;Schopfheim;Baden-Württemberg;Deutschland;47.697278;7.932587;https://hofladen.info/hofladen/imkerei-gempp
Gemüsebau Lang;Hintere Dorfstraße 7;79588;Wintersweiler ;Baden-Württemberg;Deutschland;47.674708;7.565801;https://hofladen.info/hofladen/gemusebau-lang
Becker´s Hofladen;Amtmännerwiesen Gewann 5;76199;Karlruhe;Baden-Württemberg;Deutschland;48.964444;8.389167;https://hofladen.info/hofladen/becker%C2%B4s-hofladen
Biolandhof Krug;Knallhütterstrasse 32;34225;Baunatal;Hessen;Deutschland;51.258212;9.451680;https://hofladen.info/hofladen/biolandhof-krug
Bürgin Hof Binzen;Rümmingerstrasse 10;79589;Binzen;Baden-Württemberg;Deutschland;47.616858;7.654304;https://hofladen.info/hofladen/burgin-hof-binzen
Agrozuchtfarm Breitenau;Straße des Friedens 90;9569;Oederan;Sachsen;Deutschland;50.843660;13.163360;https://hofladen.info/hofladen/agrozuchtfarm-breitenau
Haltinger Winzer;Winzerweg 8;79576;Weil-Haltingen;Baden-Württemberg;Deutschland;47.616695;7.618256;https://hofladen.info/hofladen/haltinger-winzer
Richards Wild;Fürstenberger Straße 2;16775;Gransee;Brandenburg;Deutschland;53.076518;13.181918;https://hofladen.info/hofladen/richards-wild
Spreewaldhof Niewitz;Dorfstr. 112;15910;Bersteland;Brandenburg;Deutschland;51.937867;13.782631;https://hofladen.info/hofladen/spreewaldhof-niewitz
Spargel- und Heidelbeerhof Backhaus;Lange Straße 35;31628;Landesbergen;Niedersachsen;Deutschland;52.557900;9.119645;https://hofladen.info/hofladen/spargel-und-heidelbeerhof-backhaus
Templiner Landprodukte;Lychener Str. 28;17268;Templin;Brandenburg;Deutschland;53.127410;13.486662;https://hofladen.info/hofladen/templiner-landprodukte
Hofladen Heß;Ziegelstr. 3;71720;Oberstenfeld;Baden-Württemberg;Deutschland;49.022806;9.325062;https://hofladen.info/hofladen/hofladen-he%C3%9F
Milchhof Werning;Heideweg 24;33154;Salzkotten;Nordrhein-Westfalen;Deutschland;51.718760;8.625230;https://hofladen.info/hofladen/milchhof-werning
Bruckrainhof ;Alte Kanderner Str. 2;79595;Rümmingen;Baden-Württemberg;Deutschland;47.643200;7.635333;https://hofladen.info/hofladen/bruckrainhof
Kattendorfer Hof;Dorfstraße 1a;24568;Kattendorf;Schleswig-Holstein;Deutschland;53.845270;10.022620;https://hofladen.info/hofladen/kattendorfer-hof
Hofgut Amalienberg;Amalienberg 1;76571 ;Gaggenau;Baden-Württemberg;Deutschland;48.802960;8.317267;https://hofladen.info/hofladen/hofgut-amalienberg
Wacholderhof;;65346 ;Eltville;Hessen;Deutschland;50.043415;8.048705;https://hofladen.info/hofladen/wacholderhof
Erdbeerplantage Habenicht;Donnerstedter Weg 4;27321;Thedinghausen;Niedersachsen;Deutschland;52.952481;8.972898;https://hofladen.info/hofladen/erdbeerplantage-habenicht
